TCN,REQ_DEL,EST_DE,SPOE,SPOE_AOR,SPOD,SPOD_AOR,CARRIER,SHIP_AGENCY_NM,CONTAINER_SIZE,CLASS_OF_SUPPLY,WEIGHT,SHIP_COST
F7068260294821HLX,5/1/2017,,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(JF1) BREMERHAVEN,DE",EUCOM,MAEU - MAERSK LINES INC,DLA,BREAKBULK,Class Unknown,19595,3701.5
FV50042280V009TT2,5/30/2017,9/15/2017,"(YC2) VALDEZ,AK,US",NORTHCOM,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,MSCS - MSC,AIR FORCE,BREAKBULK,CLASS VII,16794,3421.4
HQCAAB3099S102KT5,8/28/2017,,"(1M1) NORFOLK,VA,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,HLUS - HAPAG-LLOYD,DECA,40FT,CLASS I,16060,3348
HQCWJ62729S043KTB,9/20/2017,8/28/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UDC) PUSAN (COMMERCIAL TERMINAL),KR",PACOM,APLS - AMERICAN PRESIDENT LINES,DECA,40FT,CLASS I,28149,4556.9
HX2PX17023182CXXX,3/23/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS II,24418,4183.8
HX7NNW2513M0102M2,7/12/2017,,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(LQ1) ISKENDERUN,TR",EUCOM,APLS - AMERICAN PRESIDENT LINES,AAFES,40FT,CLASS II,20208,3762.8
HX7NNW3050S0392P2,8/1/2017,8/25/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(PN2) ASH SHUAIBA,KW",CENTCOM,MAEU - MAERSK LINES INC,AAFES,40FT,CLASS II,28041,4546.1
HX7NNW3099S073TT2,9/5/2017,,"(1M1) NORFOLK,VA,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,HLUS - HAPAG-LLOYD,AAFES,40FT,CLASS VII,26930,4435
HX7NNW3624S0072M2,9/29/2017,9/6/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(PN2) ASH SHUAIBA,KW",CENTCOM,MAEU - MAERSK LINES INC,AAFES,40FT,CLASS VI,18009,3542.9
M2902170620054XXX,4/28/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS VII,19894,3731.4
N002503093S0231LA,8/29/2017,9/4/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(KF1) NAPLES,IT",EUCOM,MAEU - MAERSK LINES INC,NEXCOM,40FT,CLASS II,18848,3626.8
Q944492938M014KMA,8/14/2017,8/25/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(JS1) GDANSK,PL",EUCOM,MAEU - MAERSK LINES INC,NAVY,40FT,CLASS IV,19307,3672.7
SC31052281M177ML5,9/17/2017,9/1/2017,"(2E4) HOUSTON,TX,US",NORTHCOM,"(PB1) DJIBOUTI,DJ",AFRICOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS I,29294,4671.4
SC31053103V137MM2,8/28/2017,8/27/2017,"(1M1) NORFOLK,VA,US",NORTHCOM,"(JN1) RIGA,LV",EUCOM,UNKNOWN,DLA,40FT,CLASS I,27372,4479.2
SC31053122M039MMB,9/13/2017,9/23/2017,"(1Q1) SAVANNAH,GA,US",NORTHCOM,"(LS8) POTI,GE",EUCOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS I,20538,3795.8
SC31053152M048MM5,8/21/2017,,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(JF1) BREMERHAVEN,DE",EUCOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS I,14255,3167.5
SC31053260M1891M5,9/29/2017,8/29/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(JF1) BREMERHAVEN,DE",EUCOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS I,23700,4112
SW31233100S402MMA,9/14/2017,9/7/2017,"(1M1) NORFOLK,VA,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,HLUS - HAPAG-LLOYD,DLA,40FT,CLASS IV,25177,4259.7
SW31853358M0101M2,9/8/2017,8/25/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(CR4) PUERTO CORTES,HN",SOUTHCOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS IX,18546,3596.6
SW32252729S919MMA,9/12/2017,8/29/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UDC) PUSAN (COMMERCIAL TERMINAL),KR",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS VII,24058,4147.8
SWE3002587V076MM2,10/23/2017,9/8/2017,"(JG1) ROTTERDAM,NL",EUCOM,"(PN2) ASH SHUAIBA,KW",CENTCOM,UNKNOWN,DLA,40FT,CLASS IV,28424,4584.4
UY03063210M010ML5,8/26/2017,9/1/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(PK7) HAMAD, QATAR",CENTCOM,MAEU - MAERSK LINES INC,DLA,20FT,CLASS I,13201,3062.1
W22P1H3127V044KK2,7/14/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PK6) UMM SAID,QA",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS V,25494,4291.4
W22P1H3127V059KK2,7/14/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PN4) ASH SHUAYBAH (MILITARY VESSELS),KW",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS V,16640,3406
W25G1W7173X001XXX,9/17/2017,8/28/2017,"(PN2) ASH SHUAIBA,KW",CENTCOM,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,APLS - AMERICAN PRESIDENT LINES,ARMY,BREAKBULK,CLASS IX,10847,2826.7
W36QLP2259V012KK2,3/11/2017,,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PP1) JEDDAH,SA",CENTCOM,NSCS - NATIONAL SHIPPING COMPANY OF SAUDA ARABIA,ARMY,20FT,CLASS V,24322,4174.2
W44XMF2582V196KK2,7/14/2017,8/31/2017,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,"(TA6) GUAM MAG,GU",PACOM,MISC - MALAYSIAN INTERNATIONAL,ARMY,20FT,CLASS II,24627,4204.7
W44XMF2617V018KK2,4/15/2018,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(QF1) DIEGO GARCIA,DG",PACOM,MSCS - MSC,ARMY,20FT,CLASS V,24719,4213.9
W56F9Z1192V013LK2,6/1/2017,8/28/2017,"(RB1) SINGAPORE,SG",PACOM,"(QF1) DIEGO GARCIA,DG",PACOM,MSCS - MSC,ARMY,40FT,CLASS IV,20423,3784.3
W81KK57084X121XXX,5/25/2017,8/26/2017,"(XE1) HONOLULU,HI,US",PACOM,"(XA1) HILO,HI,US",PACOM,YBRL - YOUNG BROTHERS,NAVY,BREAKBULK,CLASS VII,25646,4306.6
W81W1T2951V1012M2,9/8/2017,8/25/2017,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UDC) PUSAN (COMMERCIAL TERMINAL),KR",PACOM,MAEU - MAERSK LINES INC,ARMY,20FT,CLASS II,24920,4234
W904QE72174500XXX,10/2/2017,9/24/2017,"(XE2) PEARL HARBOR,HI,US",PACOM,"(3D2) OAKLAND,CA,US",NORTHCOM,UNKNOWN,DLA,BREAKBULK,CLASS II,29343,4676.3
W905WL2480V006MM2,7/26/2017,8/26/2017,"(PN2) ASH SHUAIBA,KW",CENTCOM,"(3D2) OAKLAND,CA,US",NORTHCOM,MAEU - MAERSK LINES INC,ARMY,20FT,CLASS IX,20274,3769.4
W90Z9C2643V011KK2,7/3/2017,8/27/2017,"(UDA) CHINHAE,KR",PACOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,MSCS - MSC,ARMY,20FT,CLASS V,29828,4724.8
W90Z9C2643V098KK2,7/22/2017,8/27/2017,"(UDA) CHINHAE,KR",PACOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,MSCS - MSC,ARMY,20FT,CLASS V,20228,3764.8
W90Z9C2643V237KK2,7/10/2017,9/24/2017,"(UDA) CHINHAE,KR",PACOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,UNKNOWN,ARMY,20FT,CLASS V,29567,4698.7
W90Z9C2643V632KK2,7/9/2017,9/24/2017,"(UDA) CHINHAE,KR",PACOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,MSCS - MSC,ARMY,20FT,CLASS V,10903,2832.3
W90Z9C2643V688KK2,7/6/2017,9/24/2017,"(UDA) CHINHAE,KR",PACOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,MSCS - MSC,ARMY,20FT,CLASS V,26744,4416.4
W90Z9F2643V231KK2,7/17/2017,8/27/2017,"(UDA) CHINHAE,KR",PACOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,MSCS - MSC,ARMY,20FT,CLASS V,21438,3885.8
WK4F422455V016L12,8/30/2017,9/3/2017,"(JF1) BREMERHAVEN,DE",EUCOM,"(1M1) NORFOLK,VA,US",NORTHCOM,HLUS - HAPAG-LLOYD,ARMY,40FT,Class Unknown,19576,3699.6
BJ3H7550909025XQX,9/18/2017,9/10/2017,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(QA4) MUHAMMAD BIN QASIM,PK",CENTCOM,FRLN - FARRELL LINES INC.,DCMA,BREAKBULK,CLASS VII,13733,3115.3
BJ3H7550909079XGX,10/27/2017,10/16/2017,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(QA4) MUHAMMAD BIN QASIM,PK",CENTCOM,UNKNOWN,DCMA,BREAKBULK,CLASS VII,22334,3975.4
BJ3H7551139012XDX,7/21/2017,,"(2E4) HOUSTON,TX,US",NORTHCOM,"(QA4) MUHAMMAD BIN QASIM,PK",CENTCOM,MAEU - MAERSK LINES INC,DCMA,BREAKBULK,CLASS VII,10508,2792.8
BJ8H7560439018XDX,6/2/2017,,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,18694,3611.4
BJ8H7560829002XSX,10/17/2017,10/5/2017,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,17295,3471.5
BJ8H7561799017XEX,8/28/2017,9/21/2017,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,18517,3593.7
BJ8H7561799040XVX,6/2/2017,,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,22913,4033.3
FB48046360X502XDX,3/19/2017,,"(PK6) UMM SAID,QA",CENTCOM,"(PN4) ASH SHUAYBAH (MILITARY VESSELS),KW",CENTCOM,SURF - ARMY WATER CRAFT,AIR FORCE,BREAKBULK,CLASS X,18464,3588.4
FB48352847V029MM2,9/15/2017,9/8/2017,"(PJ8) SALALAH (MINA RAYSUT),OM",CENTCOM,"(PN2) ASH SHUAIBA,KW",CENTCOM,MAEU - MAERSK LINES INC,AIR FORCE,20FT,CLASS VII,27100,4452
FB581462299453XXX,8/11/2017,,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(QA4) MUHAMMAD BIN QASIM,PK",CENTCOM,MAEU - MAERSK LINES INC,GSA,BREAKBULK,CLASS VII,28136,4555.6
FV52182127V004KK2,3/30/2017,9/3/2017,"(UDA) CHINHAE,KR",PACOM,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,MSCS - MSC,AIR FORCE,20FT,CLASS V,24058,4147.8
HQCWJ62641S068KT2,9/8/2017,8/29/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DECA,40FT,CLASS I,13547,3096.7
HQCWJ62716S029KT2,9/20/2017,8/29/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UDC) PUSAN (COMMERCIAL TERMINAL),KR",PACOM,MAEU - MAERSK LINES INC,DECA,40FT,CLASS I,19081,3650.1
HQCWJ62815S061KTB,10/4/2017,8/27/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DECA,40FT,CLASS I,21585,3900.5
HX7NNW3345S0342M2,8/30/2017,,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(JG1) ROTTERDAM,NL",EUCOM,MAEU - MAERSK LINES INC,AAFES,40FT,CLASS II,24034,4145.4
HX7WCW2641S069TS2,9/1/2017,8/28/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,AAFES,20FT,CLASS VI,27144,4456.4
HXMPX47027107LXXX,3/23/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS II,11335,2875.5
M202642641M0023LB,9/8/2017,8/27/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,MARINE CORPS,40FT,CLASS I,17919,3533.9
N002503376S019ML2,10/12/2017,9/4/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(PK5) KHALIFA BIN SALMAN,BH",CENTCOM,APLS - AMERICAN PRESIDENT LINES,NEXCOM,40FT,CLASS I,10976,2839.6
N6382162441677XXX,12/16/2016,,"(CB5) ANDOS,BS",NORTHCOM,"(1R1) CAPE CANAVERAL,FL,US",NORTHCOM,UNKNOWN,NAVY,BREAKBULK,CLASS V,24279,4169.9
R6668771871673XEX,8/14/2017,9/3/2017,"(TL7) KOSRAE,FM",PACOM,"(TL4) TRUK ISLAND,FM",PACOM,MATS - MATSON NAVIGATION CO.,OTHER,BREAKBULK,CLASS II,23373,4079.3
SC31052340M126ML5,9/17/2017,9/1/2017,"(2E4) HOUSTON,TX,US",NORTHCOM,"(PB1) DJIBOUTI,DJ",AFRICOM,MAEU - MAERSK LINES INC,DLA,40FT,CLASS I,20958,3837.8
SC31052611M120ML2,9/10/2017,8/29/2017,"(3H2) SAN PEDRO,CA,US",NORTHCOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS I,19702,3712.2
SC31052641M2091LB,9/12/2017,8/29/2017,"(3H2) SAN PEDRO,CA,US",NORTHCOM,"(UDC) PUSAN (COMMERCIAL TERMINAL),KR",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS I,16914,3433.4
SC31052938M159MM2,8/19/2017,8/30/2017,"(1P2) CHARLESTON,SC,US",NORTHCOM,"(JG1) ROTTERDAM,NL",EUCOM,UNKNOWN,DLA,40FT,CLASS I,26943,4436.3
SC31052941M022MM5,8/18/2017,,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,"(LQ1) ISKENDERUN,TR",EUCOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS I,14061,3148.1
SC31053445M242MM5,12/4/2017,9/5/2017,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,"(LQ1) ISKENDERUN,TR",EUCOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS I,25869,4328.9
SC31053445M247MM5,11/17/2017,9/29/2017,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,"(LQ1) ISKENDERUN,TR",EUCOM,UNKNOWN,DLA,40FT,CLASS I,14585,3200.5
SC31053581M036MM5,9/16/2017,9/21/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(JF1) BREMERHAVEN,DE",EUCOM,UNKNOWN,DLA,40FT,CLASS I,27892,4531.2
SC31053624M3751M5,9/16/2017,9/8/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(KF4) GENOVA,IT",EUCOM,MAEU - MAERSK LINES INC,DLA,20FT,CLASS I,26476,4389.6
SE6P042169V003KK9,10/20/2017,9/8/2017,"(HA8) FELIXSTOWE,GB",EUCOM,"(PQ2) ABU DHABI,AE",CENTCOM,UNKNOWN,DLA,20FT,CLASS III,26897,4431.7
SW31142595M002MM2,7/2/2017,,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,"(LQ1) ISKENDERUN,TR",EUCOM,MAEU - MAERSK LINES INC,DLA,20FT,CLASS II,12192,2961.2
SW31233054M002MM2,9/1/2017,9/21/2017,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,"(LQ1) ISKENDERUN,TR",EUCOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS II,24556,4197.6
SW31423086V0082KA,8/24/2017,8/25/2017,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(RB1) SINGAPORE,SG",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS I,28720,4614
SW314271950011XXX,7/20/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS IX,27837,4525.7
SW31472794V002LM2,9/25/2017,9/13/2017,"(TA1) APRA HARBOR,GU",PACOM,"(3H7) TERMINAL ISLAND,CA,US",NORTHCOM,MATS - MATSON NAVIGATION CO.,DLA,40FT,CLASS IX,23421,4084.1
SW31853624M0021L2,9/30/2017,9/4/2017,"(1MA) PORTSMOUTH,VA,US",NORTHCOM,"(PK5) KHALIFA BIN SALMAN,BH",CENTCOM,MAEU - MAERSK LINES INC,DLA,40FT,Class Unknown,26797,4421.7
SW32252729S917TTA,9/2/2017,8/29/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS II,24857,4227.7
SW32252815S056TTA,9/19/2017,8/29/2017,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,UNKNOWN,DLA,40FT,CLASS IV,15688,3310.8
SWE3002383V002MM2,9/26/2017,9/3/2017,"(JG1) ROTTERDAM,NL",EUCOM,"(PN1) ASH SHUWAIKH,KW",CENTCOM,APLS - AMERICAN PRESIDENT LINES,DLA,40FT,CLASS IV,19624,3704.4
W22P1H3127V109KK2,9/15/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PN4) ASH SHUAYBAH (MILITARY VESSELS),KW",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS V,28183,4560.3
W22P1H4519V123KK2,6/1/2017,9/24/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(JF6) NORDENHAM,DE",EUCOM,UNKNOWN,ARMY,20FT,CLASS V,12283,2970.3
W25G1R3127V154KK2,7/14/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PN4) ASH SHUAYBAH (MILITARY VESSELS),KW",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS V,16760,3418
W36QLP2239V028KK2,3/23/2017,,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(KB1) CASABLANCA,MA",AFRICOM,TALS - TRANSATLANTIC LINES LLC,ARMY,20FT,CLASS V,25460,4288
W36QLP7186X015XXX,8/12/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(HAO) MARCHWOOD,GB",EUCOM,MISC - MALAYSIAN INTERNATIONAL,ARMY,BREAKBULK,CLASS VII,26345,4376.5
W44XMF2541V014KK2,3/24/2018,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(LJ5) ASHDOD,IL",EUCOM,MSCS - MSC,ARMY,20FT,CLASS V,23464,4088.4
W44XMF2541V059KK2,3/24/2018,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(LJ5) ASHDOD,IL",EUCOM,MSCS - MSC,ARMY,20FT,CLASS V,20315,3773.5
W44XMF2778V055KK2,5/15/2018,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(TA6) GUAM MAG,GU",PACOM,MSCS - MSC,ARMY,20FT,CLASS II,14622,3204.2
W44XMF3127V008KK2,7/14/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PK6) UMM SAID,QA",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS V,18330,3575
W53XMD3127V035KK2,7/14/2017,9/3/2017,"(1N4) SOUTHPORT,NC,US",NORTHCOM,"(PN4) ASH SHUAYBAH (MILITARY VESSELS),KW",CENTCOM,MSCS - MSC,ARMY,20FT,CLASS V,14696,3211.6
W56HZW7184152WLAX,9/8/2017,9/2/2017,"(2E3) GALVESTON,TX,US",NORTHCOM,"(JH2) ANTWERP,BE",EUCOM,AROF - AMERICAN ROLL ON ROLL OFF CARRIERS,DLA,BREAKBULK,CLASS VII,13002,3042.2
W58HZ17144V010XMX,9/12/2017,9/3/2017,"(1G9) PORT ELIZABETH,NJ,US",NORTHCOM,"(PK7) HAMAD, QATAR",CENTCOM,APLS - AMERICAN PRESIDENT LINES,ARMY,BREAKBULK,CLASS II,28487,4590.7
W806PP2434V018KK2,7/29/2017,8/27/2017,"(JF6) NORDENHAM,DE",EUCOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,MSC1 - MILITARY SEALIFT COMMAND,ARMY,20FT,CLASS V,16121,3354.1
W80Y3J71530003XXX,6/26/2017,,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,DLA,BREAKBULK,CLASS II,23059,4047.9
W90CGJ71959012XAX,8/30/2017,8/29/2017,"(3H2) SAN PEDRO,CA,US",NORTHCOM,"(UME) YOKOHAMA (COMMERCIAL TERMINAL) ,JP",PACOM,UNKNOWN,ARMY,BREAKBULK,CLASS VII,16636,3405.6
W90Z9C2643V088KK2,7/8/2017,8/27/2017,"(UDA) CHINHAE,KR",PACOM,"(1N4) SOUTHPORT,NC,US",NORTHCOM,MSCS - MSC,ARMY,20FT,CLASS V,28503,4592.3
W91EKJ7147DT13XXX,9/6/2017,9/10/2017,"(PQ7) JEBEL ALI,AE",CENTCOM,"(2E1) BEAUMONT,TX,US",NORTHCOM,LGLT - LIBERTY GLOBAL LOGISTICS,ARMY,BREAKBULK,CLASS IX,28936,4635.6
W91NJ07139Y006XXX,7/29/2017,,"(3D2) OAKLAND,CA,US",NORTHCOM,"(UBF) AJA PORT,JP",PACOM,APLS - AMERICAN PRESIDENT LINES,ARMY,BREAKBULK,CLASS II,20513,3793.3
WK4F422501V014L12,8/31/2017,9/3/2017,"(JF1) BREMERHAVEN,DE",EUCOM,"(1M1) NORFOLK,VA,US",NORTHCOM,HLUS - HAPAG-LLOYD,ARMY,40FT,Class Unknown,16759,3417.9
WT5LE12178V086KK2,4/2/2017,9/3/2017,"(UL9) HIRAO,JP",PACOM,"(3C4) PORT CHICAGO,CA,US",NORTHCOM,MSCS - MSC,ARMY,BREAKBULK,CLASS VII,25328,4274.8
Z7186991099549PXX,7/5/2017,,"(YD1) KODIAK ISLAND,AK,US",NORTHCOM,"(4E1) TACOMA,WA,US",NORTHCOM,MATS - MATSON NAVIGATION CO.,COAST GUARD,BREAKBULK,Class Unknown,10564,2798.4
BJ3H7550909029XVX,10/27/2017,10/16/2017,"(1R3) JACKSONVILLE,FL,US",NORTHCOM,"(QA4) MUHAMMAD BIN QASIM,PK",CENTCOM,UNKNOWN,DCMA,BREAKBULK,CLASS VII,15058,3247.8
BJ8H7560439020XQX,8/29/2017,9/21/2017,"(1H3) WILMINGTON,DE,US",NORTHCOM,"(QA1) KARACHI,PK",CENTCOM,LGLT - LIBERTY GLOBAL LOGISTICS,DCMA,BREAKBULK,CLASS VII,13884,3130.4
